material,model,peak_lambda_nm,peak_Re_eps_eff,peak_Im_eps_eff,max_abs_Im_eps_eff,positive_Im_points
Au,Bruggeman / CPA,708.0,4.330028744749108,-2.6611394931174344,2.6611394931174344,0
Au,MG + MLWA sphere R=10 nm,580.0,4.973491861454698,-6.694048800624953,6.694048800624953,0
Au,MG + MLWA sphere R=30 nm,640.0,4.1551349510877325,-6.494284729300449,6.494284729300449,0
Au,MG + MLWA sphere R=50 nm,790.0,3.850492592749169,-3.586231658271963,3.586231658271963,0
Au,MG bulk / COMPOSIT,572.0,4.574358354084635,-6.044683976867585,6.044683976867585,0
Cu,Bruggeman / CPA,702.0,4.392656103033732,-2.555417428791338,2.555417428791338,0
Cu,MG + MLWA sphere R=10 nm,600.0,5.272859394624935,-3.796742157861041,3.796742157861041,0
Cu,MG + MLWA sphere R=30 nm,640.0,3.99822587033359,-5.598365788377276,5.598365788377276,0
Cu,MG + MLWA sphere R=50 nm,786.0,3.844367208218719,-3.3701977265695175,3.3701977265695175,0
Cu,MG bulk / COMPOSIT,596.0,5.1149056354613,-3.3234073150297556,3.3234073150297556,0
