tau_fwhm_ps,Te_peak_K,Tl_peak_K,max_Te_minus_Tl_K,regime,validity
0.100,959.823,312.198,658.904,hot-electron,athermal (TTM завышает)
0.250,913.094,312.194,611.282,hot-electron,athermal (TTM завышает)
0.500,850.741,312.194,547.828,hot-electron,athermal (TTM завышает)
1.000,757.049,312.194,452.712,hot-electron,TTM ok
2.000,635.736,312.194,330.184,hot-electron,TTM ok
5.000,477.867,312.194,171.635,hot-electron,TTM ok
10.000,397.546,312.194,91.251,hot-electron,TTM ok
50.000,325.348,312.194,18.615,hot-electron,TTM ok
100.000,316.654,312.194,9.314,hot-electron,TTM ok
300.000,312.390,312.194,3.105,quasi-eq (thermal-lens),TTM ok
1000.000,312.194,312.194,0.932,quasi-eq (thermal-lens),TTM ok
2000.000,312.194,312.194,0.466,quasi-eq (thermal-lens),TTM ok
