% Model,Untitled.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 23 2026, 21:09"
% Table,Ag strip W=800 nm modes at lam0500nm -
% Effective mode index,Effective mode index (1),Re(neff) (1),Im(neff) (1),Im/Re (1),Propagation constant beta (rad/um),Attenuation constant (dB/um),Integral |E|^2 in Ag (V^2),Integral |E|^2 in substrate (V^2),Integral |E|^2 in air (V^2),Ag field fraction proxy (1),Substrate field fraction proxy (1),Air field fraction proxy (1)
1.4443881772235179+2.911244874047159E-7i,1.4443881772235179+2.911244874047159E-7i,1.4443881772235179,2.911244874047159E-7,2.015555734915605E-7,18.15071714598942,-3.17762693311457E-5,1.3194287793228579E-13,1.1893120259987146E-7,5.736518806447353E-11,1.1088689785734102E-6,0.9995167849461967,4.82106184824692E-4
1.4462990512556642+4.2612944998777925E-7i,1.4462990512556642+4.2612944998777925E-7i,1.4462990512556642,4.2612944998777925E-7,2.946343977878001E-7,18.174729897274727,-4.651207561911644E-5,8.062826744765377E-14,4.9603891702234346E-8,9.799873524431955E-12,1.6251186689874527E-6,0.9998008516314533,1.9752324987771605E-4
1.4390737996224567+1.461878665009861E-6i,1.4390737996224567+1.461878665009861E-6i,1.4390737996224567,1.461878665009861E-6,1.0158469047198185E-6,18.08393470746984,-1.5956421461802662E-4,1.3378390542781755E-13,2.41125470709042E-8,4.9419975420834485E-12,5.547143109702136E-6,0.999789540558015,2.0491229887532447E-4
1.429253588858541+1.247588484887198E-6i,1.429253588858541+1.247588484887198E-6i,1.429253588858541,1.247588484887198E-6,8.72895121350419E-7,17.960530299499354,-1.3617441824843697E-4,2.6362919489596634E-13,5.591072802711358E-8,1.1010589136736533E-10,4.705891288038565E-6,0.9980298579393535,0.001965436169358544
1.4336247083271547+1.6509774579788194E-6i,1.4336247083271547+1.6509774579788194E-6i,1.4336247083271547,1.6509774579788194E-6,1.1516106330960813E-6,18.015459406741595,-1.8020436835137707E-4,1.2192313638817315E-13,1.9531848248591875E-8,4.055203127221344E-12,6.2409386786064745E-6,0.999786183413286,2.075756480353846E-4
1.4395623263118527+2.3466293770017032E-6i,1.4395623263118527+2.3466293770017032E-6i,1.4395623263118527,2.3466293770017032E-6,1.6300991864754818E-6,18.090073714903795,-2.561348506569388E-4,1.260094081034812E-13,1.4139037048227522E-8,6.686263421466964E-12,8.907871506584431E-6,0.9995184260290805,4.726660994129204E-4
1.4432723947214163+3.151167152901602E-6i,1.4432723947214163+3.151167152901602E-6i,1.4432723947214163,3.151167152901602E-6,2.1833488705434897E-6,18.136695809543,-3.439502360337651E-4,1.3959603544412838E-13,1.1638514161180369E-8,2.446968524279809E-12,1.1991652570745489E-5,0.9997778075612724,2.102007861566923E-4
1.4352932419107804+3.334893089391058E-6i,1.4352932419107804+3.334893089391058E-6i,1.4352932419107804,3.334893089391058E-6,2.323492504536128E-6,18.036426818135944,-3.64003941900458E-4,1.2150671391909173E-13,9.622762789553582E-9,3.8102294943494405E-12,1.2621852037989723E-5,0.9995915798306733,3.9579831728875814E-4
1.4358275300120777+3.48065708834443E-6i,1.4358275300120777+3.48065708834443E-6i,1.4358275300120777,3.48065708834443E-6,2.424147061949113E-6,18.043140880431686,-3.7991409817353063E-4,7.662399580287643E-14,5.80768688223712E-9,1.0482122173733425E-11,1.3169604842527097E-5,0.9981852354053281,0.0018015949898292595
1.444953335912246+3.779786160546633E-6i,1.444953335912246+3.779786160546633E-6i,1.444953335912246,3.779786160546633E-6,2.615853444263881E-6,18.157819139527906,-4.125640688022774E-4,5.530937381424488E-13,3.8387819979202034E-8,1.6560457801188783E-11,1.440163248036149E-5,0.9995543918458908,4.3120652162912635E-4
1.448072126858101+3.885549229327544E-6i,1.448072126858101+3.885549229327544E-6i,1.448072126858101,3.885549229327544E-6,2.6832566950639856E-6,18.197011022422227,-4.241081192146313E-4,1.4258381723643741E-13,9.60894759809493E-9,2.0763267199921355E-12,1.4835224955095451E-5,0.9997691320262494,2.1603274879561255E-4
1.4298673651997162+4.7295635583543365E-6i,1.4298673651997162+4.7295635583543365E-6i,1.4298673651997162,4.7295635583543365E-6,3.307693897674024E-6,17.968243240476887,-5.162323746408586E-4,1.0081711610153713E-13,5.651277062384323E-9,2.5824261266767215E-12,1.7831238751570105E-5,0.9995254223415563,4.5674641969215154E-4
1.4425149519893647+6.724044493908706E-6i,1.4425149519893647+6.724044493908706E-6i,1.4425149519893647,6.724044493908706E-6,4.66133434848326E-6,18.127177503452884,-7.339301847735575E-4,3.9485786328325646E-13,1.5432829840424745E-8,5.802927559209027E-12,2.5575306479936954E-5,0.9995985637455487,3.7586094797149405E-4
1.4297315671048518+1.2363217763663684E-5i,1.4297315671048518+1.2363217763663684E-5i,1.4297315671048518,1.2363217763663684E-5,8.647230045216597E-6,17.966536751288096,-0.001349446557931211,5.604764381729557E-13,1.2003397718204026E-8,2.165232522782427E-11,4.6606900934208334E-5,0.9981528753463874,0.0018005177526785809
1.43741943612825+3.100556557595864E-5i,1.43741943612825+3.100556557595864E-5i,1.43741943612825,3.100556557595864E-5,2.1570297991429308E-5,18.06314536267077,-0.0033842608407464443,1.4318053327533583E-13,1.2173583313764602E-9,2.391750277536103E-12,1.17371361670293E-4,0.9979220060562787,0.0019606225820508988
1.4325879098089593+3.1620227606467316E-5i,1.4325879098089593+3.1620227606467316E-5i,1.4325879098089593,3.1620227606467316E-5,2.20721027938062E-5,18.002430612309535,-0.0034513512679488806,1.44041972346603E-13,1.204948379923073E-9,2.3407902461485084E-12,1.192960164571939E-4,0.9979420541082452,0.0019386498752976637
2.0601055254780403+0.10339811182353643i,2.0601055254780403+0.10339811182353643i,2.0601055254780403,0.10339811182353643,0.05019068710062474,25.888049537846204,-11.28591510431421,1.8745971775991164E-13,9.322701899345175E-13,4.234686486856859E-13,0.1214747881825631,0.6041155145461943,0.27440969727124254
1.9708233256074092+0.10957340981276001i,1.9708233256074092+0.10957340981276001i,1.9708233256074092,0.10957340981276001,0.05559778412861508,24.766096325006565,-11.959949548668106,2.074276671380636E-13,1.026077769802797E-12,4.75060163670322E-13,0.12140456711984791,0.6005492381654832,0.27804619471466885
1.815608244695812+0.12027678025462826i,1.815608244695812+0.12027678025462826i,1.815608244695812,0.12027678025462826,0.06624599805933327,22.815606093333688,-13.128223591651684,2.4872785186092264E-13,1.2261463986712389E-12,5.788821164242057E-13,0.12110874291751225,0.5970262190779559,0.28186503800453183
1.5802182932108135+0.136954986893539i,1.5802182932108135+0.136954986893539i,1.5802182932108135,0.136954986893539,0.08666839732329824,19.85760872407717,-14.94865165266111,3.2978199339181764E-13,1.6339738095600637E-12,7.800555956866925E-13,0.12019120321296468,0.5955124358659674,0.2842963609210681
